cluster,palabra,score,k
3,educación,0.17830871711155682,7
4,background,3.6109179126442243,7
5,memoria,1.7854562890152625,7
5,título,1.6878019128548798,7
5,ambiental,1.3576232339864025,7
5,ambiente,0.813560742176373,7
5,medio,0.6938375980106276,7
6,media,0.30289193507926127,7
6,seed,0.26996954276882684,7
6,innovation,0.22778758786377928,7
6,bosque,0.22385712245419068,7
6,wildfire,0.2217385317109103,7
6,fungal,0.21272826697185976,7
6,fire,0.21082273405730964,7
6,nui,0.20239827546404196,7
6,kelp,0.19936807160182066,7
6,wetland,0.19836315074284083,7
6,rapa,0.19684147100914468,7
6,governance,0.18773585294619768,7
6,biocultural,0.17972650719353456,7
6,digital,0.17350939836934368,7
6,cuenca,0.16700440064844346,7
7,tesis,1.2834347210678916,7
7,título,1.2274923002580944,7
7,sistemas,1.1591288400065671,7
7,ambientales,1.1467794018933428,7
7,industrial,1.1306214488605133,7
7,ambiental,0.9805056689901795,7
7,naturales,0.641692820869687,7
7,recursos,0.634400974093704,7
7,conservación,0.4931571216682444,7
