id,cluster,k
PUC_6451f984d2bae8b1b63c0bd52ad4ad9f,3,4
PUC_648807c02300491d5bd4e48404aa5519,3,4
PUC_64ae8c33090eb6011566e2f006b5a6e1,2,4
PUC_653b54ea46b2235a1fdce3c88c1cc34b,3,4
PUC_67046c0198f2beef7104b3fd518da9ca,3,4
PUC_6780ef4b79a6f7d7ca9a5f56ca3f1b74,3,4
PUC_685cb565c3d5d557e4a1ea8c11ab61d2,3,4
PUC_6956ba7289f4afdc3dfe65186894774b,2,4
PUC_69ab53b07b57045a011570a8dd774c02,3,4
PUC_6a5c3b9121a6d0b9c31213e66979560a,3,4
PUC_6b172a079aa8874cc45f15293a9e5fe5,3,4
PUC_6c5392258815877d24f40a82535d7b86,3,4
PUC_6d7f37ef05e6bcd61b43006c64cbf5c6,3,4
PUC_6e92c323c634f3d67f09bc1adb48fb05,3,4
PUC_6e94e6ac12fd761cf40242800ebab24b,3,4
PUC_6ecf7d5c5294f3df6fdac5b00f260921,2,4
PUC_6ff14049fa6d6897ca884453809f6edd,3,4
PUC_70237fed41d23164c4e116398d8559bf,3,4
PUC_713af6bfb088e8e587aeae2bd5690ad6,3,4
PUC_716078d50010f80c7400a92a974f6670,3,4
PUC_718e3c9f96b090a0298233f36bd974ca,3,4
PUC_71d14bc5b4d7167c35d4d2f41d981827,3,4
PUC_72c6384f705e173fd297fc87c7e92f73,3,4
PUC_72f9da0fb2d31708672904b4f7f08557,2,4
PUC_736e9fa2df66cf460ea9b6e286fcd4e2,1,4
PUC_744c1eabd316170081bce75806ddfbb8,3,4
PUC_754d8b899e1702d98779a79f78f05e87,3,4
PUC_755944e6973bcbb310c853a85e1bc91a,3,4
PUC_766213407b7255274503873d3f9a1208,3,4
PUC_76657bd4c51a2695be28b22c1e69c953,3,4
PUC_773230003e847acf8e153b071194eaef,3,4
PUC_7780c2efad200d36f7219b5095352e00,3,4
PUC_77c15e0703da2a8171f077ae224e6a8d,3,4
PUC_78424d722b1403d6add2d9ec5b9fa8e8,2,4
PUC_785784d772db82277fddc705ea0bdf79,2,4
PUC_785de2f14153b1c5912d3b7141bfe555,3,4
PUC_7865c8e8957e2248daca66a742e41140,3,4
PUC_790ef4dca3d2a78b913a5498869f1323,3,4
PUC_79121ea27fadbc5c64a0ed366adcf094,3,4
PUC_7b5052cd59f48a8f2a7a2d7468d1c00a,3,4
PUC_7ca9177c5d2041b27fc29933f4bab308,3,4
PUC_7d77c92fbac4739c1cbb66a5c3aa825f,3,4
PUC_7dddd3d6b7548f46bf9033067148c486,3,4
PUC_7f2033b4151897d85d0304e3c0606f0c,3,4
PUC_801834eddad1de0583a974979ed3d2c0,3,4
PUC_809d42698f0c98432adfb3b04997fcef,1,4
PUC_80a56807b03df4a17e736a6c9a6b1c8c,3,4
PUC_8129c09a44d1101232e1497fb8e015e7,3,4
PUC_813bd21f5d4ae3dcba598c42ebf5e1b1,3,4
PUC_8153e78178bc93aba4668e76fb1679fd,3,4
PUC_817731b81910a766278b1cfa76cd90f8,3,4
PUC_81b8ec15fe1ae4b007b71321ba0d5862,3,4
PUC_84894a81444fd6d9f8f9b0d11c8fa069,2,4
PUC_84957a1fedec61b435f2522cf8eadf53,1,4
PUC_84a773d664fcf148093d10fb6939774c,3,4
PUC_853c2bd63c480a9bef96538e9369df4f,1,4
PUC_858536edb0ade9bbd336a44fbad7475c,3,4
PUC_863b77b86ec2c1a6aa19f23f0c34850f,3,4
PUC_8680eb4e6f192251dc3461308ea8b214,3,4
PUC_868b6f3d2df1274e7860174756a6e228,3,4
PUC_86d2528fbab6a35e62748c93769c2401,3,4
PUC_8770f5003d8a29102c406a889a2b5a10,3,4
PUC_880f7fe853f4ae484eca89a6d6eb6930,3,4
PUC_882624f103d7a44b47d11e78ec2a2439,3,4
PUC_8a12698e5580d001c94fe8cbe6a0c489,1,4
PUC_8b68a902a94727bb861fcc94bfb3d0d2,3,4
PUC_8c00b00d6399d433c385b534b78ec325,3,4
PUC_8c03053092d45c3ff5125c5385c12bca,3,4
PUC_8c25bcfb88a18e7c02c2e0f4386cfc34,3,4
PUC_8c84b04e7b6eb2b72b4d40e2a9a1b25c,3,4
PUC_8caa6129c8c92ebe8573e9be042e5b40,3,4
PUC_8d81b90dab7c6917d821240d2740c901,3,4
PUC_8d9aeda49779d88c928d7660eed27135,3,4
PUC_8da0690dbaf08e9296abeb609316e220,3,4
PUC_8da4c412d6ed0350e5e6ab4c90e9a1bc,3,4
PUC_8dcd4f1c402ddae3184d74763d1abc23,3,4
PUC_8e31a58c30315c8f18329e485e23f383,2,4
PUC_8e8d38524c4c1276bf469eb05c54f020,3,4
PUC_8e9a208af2428ef7df0dee48ad0af043,1,4
PUC_8f12b494cccb0664002663e992f4c8de,3,4
PUC_8f7da273e992ad28400f27ab1476c7dc,3,4
PUC_90061f366ddaa2eb2a690d9f05fe7ef1,3,4
PUC_90564401a516c73eb2dccb9a93d0235b,3,4
PUC_90f2898eeb03c1c76093d63063895bfd,3,4
PUC_90f3ccfcba278871c257d031089062a1,1,4
PUC_91a9b75664ad97616c979b081dc855b7,3,4
PUC_924d81991cf05709b265259ee3873c4e,3,4
PUC_92dc17a5702b3216a24752d99c86265f,3,4
PUC_94455c5e7eddd14f7cc587f6a794daa5,3,4
PUC_948214d8f26f82530a7a719364d2f497,3,4
PUC_94da9502d09543566582447b74edfe97,3,4
PUC_950152b7d2e0c012ab650c8fcf786fab,3,4
PUC_954d7c67482515ae1151558788bacf53,3,4
PUC_954f9bb8124814beb0c288ff42c51633,3,4
PUC_958688c4a88f7d006ce8985ede359a45,3,4
PUC_964faf7ca53514feb34f39ae49f991c9,3,4
PUC_96d5fb9746251450956a65f7d46e43d0,1,4
PUC_978906be892e575867771e86690e3148,3,4
PUC_98b938876d2af2c1219f482523c639ae,3,4
PUC_98e3fcf38aa3d3ad071e0721e6a27010,1,4
PUC_99a1a79a2dd9db592888c71fcfdbd243,3,4
PUC_9c622e17c1aa67616b953f07c1eef3cf,3,4
PUC_9c817ce29ddc043e4c538eae0d6ffbd0,3,4
PUC_9de244b4534f28f05231283e80e5bd5f,3,4
PUC_9e156b0f9f470acf36c2f53f6b1ba287,3,4
PUC_9eb253210beaec135df9ad8346c84576,3,4
PUC_9f2bf6848cad32bf2645752288b520bd,3,4
PUC_a05d73983f07038425ca8513d3206e5a,3,4
PUC_a0eb26c8df00ccdc690787a8c512392a,3,4
PUC_a11ec0a4bed6d47e0913ea938f55a703,3,4
PUC_a12e2211a8476a68b704a6092c2a632e,3,4
PUC_a2d79c962f98cdc30f58953e18f6c852,3,4
PUC_a35e08033ccd629e6246fa2e42f2b573,3,4
PUC_a374be8f6516ed859c7e20e2e7d4b26a,3,4
PUC_a38ce9a16fc80d11bfe04e9d2cd62386,3,4
PUC_a52dc053e9a9f01be4f9275cb911e889,3,4
PUC_a6642e39ec0ef2b8bced59ed718cb91f,3,4
PUC_a66492fd44efeea310cef443320262b3,3,4
PUC_a6a71d4528ceaa02442e0c99d4de98b2,3,4
PUC_a7d111262337bf07a5a61fa54be0dc6a,2,4
PUC_a890904e81be20d7c5041e057031206d,3,4
PUC_a899de1b952ad4561996a5adc6232e58,3,4
PUC_a8c3ed8cca5382614ecefc025dc7c9a0,1,4
PUC_a8fc27d52c0a81e82a5bbedd2e869ab9,1,4
PUC_a9f5d64668c82f9fb981eb12251089d2,3,4
PUC_ab66fe69c65e4605248052333a09a2a1,3,4
PUC_ab72eeb9d53fdfb77aa7633ccffb21cd,3,4
PUC_abe1249eb623dd67157e524064d9a2b2,3,4
PUC_acad1a9ce8c8be27937fb8836420e77e,3,4
